0	2832	77115,97203,94053,95735,91900,76054,84698,87055,96375,80694,91370,92976,78962,95528,98305,76645,62097,86399,81900,93094,82644,92378,85995,60160,65743,80625,95978,53771,66784,67629,65516,76597,75771,87944,50271,82538,58892,56279,55153,90435,93088,89893,65273,78004,95492,80327,87365,82572,94507,80545,94592,83528,89828,92529,91212,38420,86952,83100,45915,83164,95739,59307,77204,80540,56674,91676,66424,92182,63556,85240,60879,66590,53924,38423,50078,38422,80798,67616,96214,56709,86750,76032,97947,85588,52046,68101,67635,85472,99556,93923,42960,85470,51694,73636,43006,99622,98872,85469,87852,95795
1	2297	81328,82667,85257,77999,68232,95982,79576,42888,99620,91595,61876,56685,75394,60670,67131,51092,79826,89020,38687,71722,60315,67163,67133,66439,67132,90588,82666,90046,77782,91997,94085,68231,77045,65264,58249,94371,38719,57808,82469,95961,52925,75393,40590,65504,62593,43230,57364,67442,96981,58291,94306,62682,48462,67440,43456,97329,99387,48686,57736,51538,55786,83633,45110,98097,96693,79874,48380,41013,99236,82193,88856,49689,81676,80269,70212,81678,42038,58608,91130,68429,49861,66310,72724,42059,80829,41720,72725,59232,82468,79222,80715,85903,57456,67215,90651,88857,83236,99469,50083,76888
2	2163	66666,46409,41355,63194,51302,96611,70171,49685,54238,45724,61726,47893,96698,68029,47830,69581,88417,99364,63784,53263,93817,71025,57716,50840,52097,50141,68488,68706,53391,55673,55669,45868,53487,55670,68698,69105,50398,57220,72181,67048,75598,38737,50906,45176,70765,60580,61389,55954,39612,91895,53283,41265,68699,59384,64027,51957,67945,57883,65114,60579,79471,61031,94405,44046,47137,45139,41712,58310,39157,42832,78166,68971,80768,57417,47573,49548,41949,97725,65604,46010,39014,55452,67355,66972,45863,40197,56541,38486,50356,52870,57458,51640,43950,43246,48616,68686,54264,41450,59214,73697
3	318	10220,5769,12118,12239,24306,23364,12561,11984,2495,8020,12521,3075,1361,8229,16222,17332,16226,23216,8227,13511,6021,306,23170,35217,28764,11596,17286,16163,8790,20605,16233,17421,20059,5206,1414,7132,5060,4363,1089,23260,3288,7892,16394,12821,33525,6504,31747,6769,17569,6502,3888,610,9912,7641,36120,15223,13528,2962,33581,24509,6506,4592,4446,1656,22825,20504,19031,12408,23588,32972,4590,5671,6076,2406,3181,9511,30408,9732,3474,10935,13192,33483,20468,8957,15599,4447,13957,22125,4591,33574,6530,5941,5727,16945,13715,19890,20467,3473,20844,4456
4	921	11314,15004,14336,847,5517,10395,11762,18554,13013,21457,22196,5207,24886,3086,25079,3408,734,8332,16355,23386,16293,15479,11092,28527,30367,11382,7490,34583,17974,3080,1470,10462,22202,8489,11294,3991,12106,29420,18014,37858,12612,4765,12611,6247,20751,22167,34567,24512,3293,11876,13306,9506,18515,8394,10842,5017,13813,24946,5518,18040,21430,28099,3464,26816,29195,11308,32859,13295,21475,10274,15403,33084,10768,18901,24667,34568,7562,12999,7736,35041,14489,13378,2447,5484,850,7454,19489,15902,7611,6056,23379,24889,13380,18549,23003,8476,9914,14425,21305,3990
5	2898	52188,38754,72211,56603,50289,40316,46783,63265,61323,73369,55319,53420,46087,40887,48048,72100,51431,66874,56428,62504,50632,47873,52310,53224,39238,53349,45784,66040,75694,41350,71646,76468,98597,48824,70209,49868,73979,61789,71643,57422,67927,40224,69041,48395,56467,73388,44972,55333,44325,65871,43832,61248,78652,64117,46598,73076,61737,40901,38735,68595,44417,66229,46247,46864,67704,69146,52649,40657,64882,55320,66254,78801,44992,56853,73764,44267,98581,48970,52640,57865,63301,64113,45633,69726,59390,69424,69986,71061,65505,56480,45905,70229,45122,50294,78650,85603,62276,48398,39727,74940
6	2567	94133,87361,99467,94606,96656,97038,65507,87252,84642,98885,40875,87648,90613,80559,82183,81589,80162,69623,76568,57080,71752,70524,94761,71719,81261,97590,87098,39596,88361,90394,51766,74776,90393,61578,85375,54581,77368,88309,46333,55087,55284,72385,78265,76160,97214,87311,61444,55062,63244,98601,93717,62125,78498,95851,74588,90347,67713,55096,80130,60305,89939,61969,79301,90149,50913,52749,84441,86701,42718,70081,88698,88057,89332,85246,63563,78269,95336,100096,82682,93676,87440,83551,75362,69311,96643,70466,79801,71859,96865,64797,99987,68915,86726,70251,69310,90543,84405,76635,45419,83553
7	600	24946,11092,25079,30633,5207,11409,8768,27140,6553,12612,23973,15318,16293,6247,12611,17974,3080,1470,10462,16164,12106,21599,2791,3464,1501,8552,3994,5518,9506,3415,3929,21910,23909,19509,16494,212,12615,22802,14336,6571,22202,14715,16079,20449,1883,7984,10395,19000,17347,22101,23922,6224,2328,24252,23339,33144,15779,12233,18415,11671,9726,5616,2314,14849,13382,14553,3960,11967,11424,14019,13143,928,24886,11993,181,16455,7661,20687,671,960,32321,13954,8699,2924,11941,6260,9923,7297,4342,24940,15582,24933,8984,17777,15966,7135,13224,3156,3029,31536
8	2332	38352,59894,59511,71670,56656,75264,40529,65451,54803,66787,67286,49880,68191,59480,67877,43822,50302,60993,48554,87819,80259,58507,41818,74456,45217,60438,50255,42729,75126,41919,51341,50911,57581,41408,59707,58403,73982,50919,54213,51336,95414,55248,38395,58448,45029,41798,97362,47904,44995,48710,70176,65847,50240,43432,51552,93156,61137,70806,50110,71090,61155,70844,52308,87187,64911,46834,40585,61822,85795,73080,62446,74058,56589,41414,66914,60444,65482,70158,60368,51209,47926,40526,67701,88452,66650,40422,70082,43293,51073,50222,50187,65801,70769,42332,55661,64909,49613,45120,64588,71620
9	2768	97190,79327,67953,87279,57630,87480,83540,46369,90572,55597,91336,55783,85317,89730,98568,83745,95385,84272,56833,83124,56814,91839,84640,84268,97304,93220,82783,77400,82244,85160,89865,81218,86200,94642,40269,74970,95045,75759,82286,83526,55336,96751,38397,83008,78277,83144,80325,70468,59619,85683,96286,49762,48611,47687,67059,98929,62938,87312,76059,83556,69938,58765,82820,70603,76077,89324,39623,93055,85220,91826,88102,93009,44524,57545,65387,93313,41282,53102,99161,77758,93166,46706,65706,95872,51742,90982,89016,39915,51803,94624,91897,68334,95714,76318,96590,95959,88528,78116,88807,72690
10	1374	52224,55494,43112,61256,71993,74474,49895,67680,52047,58385,53133,49569,54882,48045,66982,55756,49654,69708,47040,46847,70203,75448,69373,97679,59812,73145,57608,97997,42197,85744,48309,51590,38591,90299,71434,52849,55643,96710,62440,71331,82133,53340,93735,66107,92707,39427,46862,75873,86869,97436,74608,97608,59106,47629,89360,47986,47526,58590,88693,47734,70957,98737,72045,51938,47336,61261,69660,46500,68469,69655,73352,55429,54644,50463,39618,46220,67545,56037,50204,51815,70191,50767,74852,62891,55633,52725,70975,69621,73534,51572,38853,50805,73698,88002,53495,55202,60834,64939,51315,55503
11	2034	72449,42697,74119,66384,46208,63512,66362,62965,72842,51061,51756,74111,70373,65324,42596,62993,63710,57280,43153,47843,49277,42788,50995,68071,46507,74765,52931,60992,76582,38397,66305,62103,56072,58150,56074,71906,60930,90006,61616,91304,47863,72292,40226,49978,51006,72972,65284,61430,66419,95532,59780,49778,50504,64284,46458,90795,70416,74179,72333,58117,53286,51248,63738,44695,89971,57340,70645,74807,60156,96301,47612,59359,66292,47584,59687,70509,67793,63653,60247,43029,58685,65307,73292,40315,62171,62538,54922,96424,88501,62848,60808,51817,61149,67892,42638,60355,65693,42789,46571,72500
12	1264	71142,57508,74872,41334,40346,63088,66862,50246,49782,70705,41309,73042,66860,40198,49591,46721,55762,66961,63160,66902,65517,65480,53329,63860,56214,71610,45463,40511,52179,39322,63588,66277,59040,43951,43935,69033,66966,68461,41264,50145,74023,50650,74019,74907,44940,66046,41065,59658,63227,66967,60543,45851,78056,43482,58389,38662,98497,58927,57878,63041,50276,73362,65662,41062,60528,45685,73146,59076,66659,49447,47810,56466,68969,46251,66963,59606,93977,43944,62863,72627,72649,48056,56322,59070,55380,49488,71617,89623,40022,58787,46806,68936,68005,74086,59094,61008,66643,50221,74051,41820
13	169	24799,5839,19068,9779,17532,1788,6697,22281,21810,3730,23056,17919,14895,1412,10386,16654,13681,5572,19385,17917,12873,7011,9141,8715,21794,8721,5635,18186,1799,8951,12446,12852,13660,5637,5636,14092,22001,16789,1404,1903,9174,11189,5827,6741,23553,5200,9238,2379,1603,5076,13181,8982,9134,4510,18964,8173,18396,587,5817,8940,5217,24258,7992,8093,30091,16525,20050,111,2558,6132,14648,17560,17883,8144,1915,22288,18165,13053,10095,11089,8712,8778,5030,24142,23174,19585,9372,13938,5444,18161,15987,6746,5640,8018,837,14867,13432,16292,13162,23552
14	2080	91972,79934,79684,85746,78099,70206,81822,57230,95925,90856,52662,86067,65484,57107,61983,90838,81539,46971,58601,92868,86498,87198,63694,88258,79499,99010,54930,88763,85115,98758,54588,78255,90653,87607,45262,83081,89844,81414,84564,78382,41187,95267,100143,97803,90906,81575,89538,71698,79941,65890,78053,72828,99810,92170,90852,76235,80060,74024,91977,83482,66615,80599,57471,51950,57576,48857,47818,96725,84091,66618,83272,55717,85003,41663,94037,67313,94019,96026,75299,98337,96741,96399,64859,88951,83993,61081,80354,85507,47975,48717,79747,84541,94020,79187,85354,87134,91146,52160,99129,67305
15	1166	84568,99339,78318,38479,84484,95930,93796,80872,96910,88040,80009,96972,87149,82058,96963,52006,98724,50633,80929,97922,73360,95278,91540,83054,96420,40082,94468,76337,70536,98522,58326,85565,72553,89666,81110,76963,83651,80117,98487,93008,93057,78895,65341,91423,80841,46736,50594,56611,97599,93696,99395,90500,41501,66864,97784,86264,87064,49380,83159,92669,88220,86982,82128,83781,47728,76955,99321,79208,90892,93011,88844,54728,77019,91033,92722,81044,77018,96101,88766,99388,79834,98401,80217,79633,70727,84122,90410,93750,44392,96834,83353,88024,88127,78800,90470,66638,97260,43814,97400,85722
16	2199	67716,49907,59239,45942,46223,98340,44745,56503,51837,41853,97960,63602,38377,74082,41003,56599,69732,83346,47412,64116,65959,74617,46703,74345,46359,65005,85387,67108,45372,59146,46434,80713,46697,64184,40990,57236,85520,46595,47821,65817,69740,40592,73086,66069,79716,40518,51243,59768,56835,68998,41452,61316,73726,75283,66889,73695,95947,46346,71266,57004,40488,59842,46090,96283,49607,47866,73327,40040,40438,43869,60487,59802,69259,56607,59987,61844,45312,53293,70111,41911,47022,73324,90657,74904,51495,46972,84807,61990,41594,57651,74881,50384,50737,48723,64814,51419,50334,98578,72579,49578
